id_equipo_local,id_equipo_visitante,goles_local,goles_visitante,resultado,arbitro,fixture_id,fecha_timestamp,goles_descanso_local,goles_descanso_visitante,estadio,season
544,861,0,2,2,"Aitor Gorostegui Fernandez Orte, Spain",27872,1554559200,0.0,0.0,Estadio de Riazor,2018
797,713,1,0,1,"Javier Iglesias Villanueva, Spain",27873,1554660000,1.0,0.0,Estadio Manuel Martínez Valero,2018
860,723,1,0,1,"Juan Luis Pulido Santana, Spain",27874,1554566400,0.0,0.0,Estadio Francisco de la Hera,2018
714,717,2,0,1,"Inaki Vicandi Garrido, Spain",27875,1554652800,1.0,0.0,Nou Estadi Municipal,2018
715,535,1,0,1,"Daniel Jesus Trujillo Suarez, Spain",27876,1554566400,1.0,0.0,Nuevo Los Cármenes,2018
716,727,2,2,0,"Damaso Arcediano Monescillo, Spain",27877,1554645600,1.0,0.0,Anxo Carro,2018
798,729,1,0,1,,27878,1554588000,,,Iberostar Estadi,2018
718,534,1,1,0,"Saul Ais Reig, Spain",27879,1554575400,0.0,0.0,Carlos Tartiere,2018
719,731,0,1,2,"Alvaro Moreno Aragon,",27880,1554490800,0.0,1.0,Heliodoro Rodríguez López,2018
722,797,1,1,0,"Abraham Dominguez Cervantes, Spain",27881,1555236000,0.0,0.0,Carlos Belmonte,2018
723,714,3,0,1,"Victor Areces Franco, Spain",27882,1555171200,2.0,0.0,Estadio del Mediterráneo,2018
713,716,0,4,2,"Daniel Ocon Arraiz, Spain",27883,1555257600,0.0,1.0,Estadio Nuevo Arcángel,2018
534,724,0,3,2,"Santiago Varon Aceiton,",27884,1555264800,0.0,0.0,Gran Canaria,2018
535,860,1,2,2,"Ruben Avalos Barrera,",27885,1555164000,0.0,1.0,La Rosaleda,2018
717,798,1,1,0,"Valentin Pizarro Gomez, Spain",27886,1555250400,1.0,0.0,Los Pajaritos,2018
727,544,2,1,1,"Jorge Figueroa Vazquez, Spain",27887,1555171200,2.0,1.0,Estadio El Sadar,2018
861,719,1,3,2,"Cesar Soto Grado, Spain",27888,1555180200,1.0,1.0,Estadio Cerro del Espino,2018
729,718,0,1,2,,27889,1555192800,,,Estadio Camp Nou Municipal (Reus),2018
731,715,1,0,1,"Gorka Sagues Oscoz, Spain",27890,1555095600,1.0,0.0,El Molinón-Enrique Castro Quini,2018
732,711,0,2,2,"David Perez Pallas, Spain",27891,1555266600,0.0,1.0,La Romareda,2018
722,534,4,2,1,"Inaki Vicandi Garrido, Spain",27892,1555776000,3.0,2.0,Carlos Belmonte,2018
711,535,1,4,2,"Saul Ais Reig, Spain",27893,1555700400,1.0,2.0,Santo Domingo,2018
724,717,2,1,1,"Alvaro Moreno Aragon,",27894,1555840800,1.0,0.0,Estadio Ramon de Carranza,2018
544,860,1,2,2,"Jose Antonio Lopez Toca,",27895,1555855200,0.0,1.0,Estadio de Riazor,2018
797,727,1,2,2,"Daniel Jesus Trujillo Suarez, Spain",27896,1555959600,1.0,0.0,Estadio Manuel Martínez Valero,2018
714,731,0,0,0,"Oliver de la Fuente Ramos, Spain",27897,1555776000,0.0,0.0,Nou Estadi Municipal,2018
716,715,1,2,2,"Isidro Diaz de Mera Escuderos, Spain",27898,1555768800,0.0,1.0,Anxo Carro,2018
798,861,2,0,1,"Javier Iglesias Villanueva, Spain",27899,1555783200,2.0,0.0,Iberostar Estadi,2018
718,713,3,3,0,"Damaso Arcediano Monescillo, Spain",27900,1555862400,2.0,1.0,Carlos Tartiere,2018
719,723,1,3,2,"Aitor Gorostegui Fernandez Orte, Spain",27901,1555869600,0.0,1.0,Heliodoro Rodríguez López,2018
732,729,1,0,1,,27902,1555797600,,,La Romareda,2018
723,718,0,1,2,"Gorka Sagues Oscoz, Spain",27903,1556380800,0.0,0.0,Estadio del Mediterráneo,2018
713,732,0,3,2,"Santiago Varon Aceiton,",27904,1556474400,0.0,0.0,Estadio Nuevo Arcángel,2018
860,719,1,0,1,"Valentin Pizarro Gomez, Spain",27905,1556389800,1.0,0.0,Estadio Francisco de la Hera,2018
715,714,2,0,1,"Cesar Soto Grado, Spain",27906,1556467200,2.0,0.0,Nuevo Los Cármenes,2018
534,716,4,1,1,"Abraham Dominguez Cervantes, Spain",27907,1556467200,3.0,0.0,Gran Canaria,2018
535,798,0,1,2,"David Perez Pallas, Spain",27908,1556374500,0.0,0.0,La Rosaleda,2018
717,544,1,2,2,"Luis Mario Milla Alvendiz,",27909,1556305200,0.0,2.0,Los Pajaritos,2018
727,722,2,0,1,"Juan Luis Pulido Santana, Spain",27910,1556380800,0.0,0.0,Estadio El Sadar,2018
861,724,1,1,0,"Daniel Ocon Arraiz, Spain",27911,1556445600,0.0,1.0,Estadio Cerro del Espino,2018
