id_jugador,nombre_jugador,equipo_jugador,id_equipo,temporada_equipo
47291,Gorka Guruzeta Rodríguez,Athletic Club,531,2022
47400,A. Lunin,Real Madrid,541,2022
162529,Luis López,Real Madrid,541,2022
183799,Nico Williams,Athletic Club,531,2022
206260,Lucas Cañizares,Real Madrid,541,2022
279792,Vinícius Tobias,Real Madrid,541,2022
288525,Malcom Adu,Athletic Club,531,2022
313026,Luis Bilbao,Athletic Club,531,2022
334575,Diego Piñeiro,Real Madrid,541,2022
336706,Marvel,Real Madrid,541,2022
746,Marco Asensio,Real Madrid,541,2022
748,Dani Ceballos,Real Madrid,541,2022
757,Lucas Vázquez,Real Madrid,541,2022
759,K. Benzema,Real Madrid,541,2022
760,M. Díaz,Real Madrid,541,2022
911,Jaume Doménech,Valencia,532,2022
913,Cristian Rivero,Valencia,532,2022
920,Toni Lato,Valencia,532,2022
1271,A. Tchouaméni,Real Madrid,541,2022
1482,Thierry Correia,Valencia,532,2022
2207,E. Camavinga,Real Madrid,541,2022
2296,E. Hazard,Real Madrid,541,2022
47267,Iago Herrerín,Valencia,532,2022
162033,Sergio Arribas,Real Madrid,541,2022
162034,Carlos Dotor,Real Madrid,541,2022
162449,Carlos Manuel,Valencia,532,2022
163198,Emilio Bernard,Valencia,532,2022
343202,Á. Rodríguez,Real Madrid,541,2022
343205,Mario Martín,Real Madrid,541,2022
350037,N. Paz,Real Madrid,541,2022
792,Justin Dean Kluivert,Valencia,532,2022
915,Gabriel Paulista,Valencia,532,2022
916,M. Diakhaby,Valencia,532,2022
918,José Gayà,Valencia,532,2022
919,Hugo Guillamón,Valencia,532,2022
1641,Samu Castillejo,Valencia,532,2022
41157,André Almeida,Valencia,532,2022
47251,D. Foulquier,Valencia,532,2022
48372,E. Cömert,Valencia,532,2022
72048,C. Özkacar,Valencia,532,2022
126936,Samuel Dias Lino,Valencia,532,2022
161933,Nico González,Valencia,532,2022
162123,Ilaix Moriba,Valencia,532,2022
162175,Jesús Vázquez Alcalde,Valencia,532,2022
162931,Fran Pérez,Valencia,532,2022
315699,Javi Guerra,Valencia,532,2022
315701,Rubén Iranzo Lendínez,Valencia,532,2022
333682,Cristhian Mosquera,Valencia,532,2022
364414,Mario Domínguez,Valencia,532,2022
364415,Jesús Santiago,Valencia,532,2022
403,M. Nastasić,Mallorca,798,2022
1687,Jaume Costa,Mallorca,798,2022
1701,Manu Morlanes,Mallorca,798,2022
2208,C. Grenier,Mallorca,798,2022
2610,G. González,Mallorca,798,2022
26302,Pablo Maffeo,Mallorca,798,2022
46733,Raíllo,Mallorca,798,2022
46738,M. Valjent,Mallorca,798,2022
46739,I. Baba,Mallorca,798,2022
47007,Ruíz de Galarreta,Mallorca,798,2022
47264,Hugo Duro,Valencia,532,2022
53517,D. Hadžikadunić,Mallorca,798,2022
61142,D. Greif,Mallorca,798,2022
107194,Antonio Sánchez,Mallorca,798,2022
122233,Marcos André de Sousa Mendonça,Valencia,532,2022
162127,Diego López,Valencia,532,2022
179139,Leo Román,Mallorca,798,2022
181582,Copete,Mallorca,798,2022
185715,Josep Antoni Gayá Martínez,Mallorca,798,2022
237252,Pere García,Mallorca,798,2022
29,J. Oblak,Atletico Madrid,530,2022
1484,R. Battaglia,Mallorca,798,2022
1582,Róber,Real Betis,543,2022
1699,Iborra,Villarreal,533,2022
3084,Philana Tinotenda Kadewere,Mallorca,798,2022
14382,I. Grbić,Atletico Madrid,530,2022
21566,B. Lecomte,Espanyol,540,2022
46659,Rober Ibáñez,Osasuna,727,2022
46742,Dani Rodríguez,Mallorca,798,2022
46751,Abdón Prats,Mallorca,798,2022
47266,Ángel,Mallorca,798,2022
50048,V. Muriqi,Mallorca,798,2022
104793,Amath Ndiaye Diedhiou,Mallorca,798,2022
104821,Jon Guridi,Real Sociedad,548,2022
104853,Asier Villalibre,Athletic Club,531,2022
162686,Antonio Blanco,Cadiz,724,2022
170541,Miquel Llabrés,Mallorca,798,2022
315604,Alejandro Iturbe,Atletico Madrid,530,2022
333379,Antonio Gomis,Atletico Madrid,530,2022
386872,Sergio Mestre,Atletico Madrid,530,2022
20,A. Witsel,Atletico Madrid,530,2022
39,S. Savić,Atletico Madrid,530,2022
45,T. Lemar,Atletico Madrid,530,2022
48,Saúl,Atletico Madrid,530,2022
50,Koke,Atletico Madrid,530,2022
739,Reguilón,Atletico Madrid,530,2022
753,Marcos Llorente,Atletico Madrid,530,2022
926,G. Kondogbia,Atletico Madrid,530,2022
2472,R. De Paul,Atletico Madrid,530,2022
2669,Hermoso,Atletico Madrid,530,2022
2923,Y. Carrasco,Atletico Madrid,530,2022
6503,N. Molina,Atletico Madrid,530,2022
22225,Reinildo,Atletico Madrid,530,2022
162138,Marco Moreno Ojeda,Atletico Madrid,530,2022
185308,Mini,Atletico Madrid,530,2022
287177,Adrián Corral,Atletico Madrid,530,2022
313548,Alberto Moreno,Atletico Madrid,530,2022
336590,Aitor Gismera,Atletico Madrid,530,2022
336594,Pablo Barrios,Atletico Madrid,530,2022
336681,Sergio Díez,Atletico Madrid,530,2022
53,Á. Correa,Atletico Madrid,530,2022
56,A. Griezmann,Atletico Madrid,530,2022
